home_idx,away_idx,y_home,y_away,stadium_idx,neutral,conf_game,mismatch_home,mismatch_away,week_idx,fcs_fcs,home_conf_idx,away_conf_idx
98,93,21.0,24.0,25,1,1,0,0,0,0,2,2
240,86,38.0,31.0,11,0,0,1,-1,0,0,15,3
97,69,31.0,7.0,174,0,0,0,0,0,0,2,15
267,191,41.0,24.0,121,0,1,0,0,0,0,7,7
80,209,23.0,20.0,62,0,0,0,0,0,0,15,0
201,21,34.0,7.0,210,0,0,0,0,0,0,1,15
186,166,34.0,31.0,227,0,0,0,0,0,0,5,14
23,104,26.0,7.0,76,0,0,1,-1,0,0,14,18
239,207,29.0,0.0,168,0,0,1,-1,0,0,24,16
142,55,24.0,17.0,57,0,0,0,0,0,0,0,1
236,95,17.0,10.0,87,0,0,0,0,0,0,2,7
50,51,35.0,17.0,72,0,0,1,-1,0,0,7,12
2,272,0.0,10.0,129,0,0,0,0,0,0,14,15
53,62,45.0,17.0,260,0,0,1,-1,0,0,0,6
134,32,61.0,6.0,174,0,0,1,-1,0,0,20,25
169,242,27.0,7.0,38,0,0,1,-1,0,0,2,4
83,110,69.0,0.0,127,0,0,-1,1,0,0,23,10
82,210,27.0,0.0,244,0,0,1,-1,0,0,2,23
131,27,23.0,10.0,125,0,0,0,0,0,0,5,14
233,5,52.0,42.0,207,0,0,1,-1,0,0,1,21
270,127,17.0,0.0,53,0,0,0,0,0,0,5,14
38,144,17.0,20.0,100,1,0,0,0,0,0,2,5
194,213,42.0,0.0,236,0,0,1,-1,0,0,15,6
13,216,27.0,30.0,183,0,0,1,-1,0,0,1,25
66,20,42.0,9.0,203,0,0,1,-1,0,0,7,21
257,99,10.0,9.0,10,0,0,0,0,0,0,0,7
36,7,11.0,34.0,28,1,0,0,0,0,0,1,24
129,268,23.0,6.0,237,0,0,0,0,0,0,5,14
97,256,46.0,7.0,174,0,0,1,-1,0,0,2,16
87,266,52.0,3.0,176,0,0,1,-1,0,0,5,4
42,76,20.0,27.0,97,0,0,0,0,0,0,2,0
19,14,24.0,38.0,171,0,0,0,0,0,0,2,20
191,240,21.0,38.0,26,1,0,0,0,0,0,7,15
195,34,14.0,16.0,49,0,0,0,0,0,0,15,14
231,163,23.0,3.0,276,0,0,0,0,0,0,1,5
119,65,39.0,7.0,226,0,0,0,0,0,0,5,1
176,54,61.0,9.0,2,0,0,1,-1,0,0,0,16
218,214,45.0,26.0,182,1,0,0,0,0,0,20,0
181,18,31.0,0.0,221,0,0,0,0,0,0,5,14
143,249,52.0,7.0,189,0,0,1,-1,0,0,1,22
100,125,21.0,17.0,73,0,0,1,-1,0,0,14,9
205,132,17.0,34.0,166,0,0,0,0,0,0,24,20
167,221,14.0,7.0,198,0,0,0,0,0,0,5,20
101,228,24.0,16.0,151,0,0,0,0,0,0,20,14
220,46,65.0,0.0,247,0,0,-1,1,0,0,4,10
250,255,67.0,10.0,43,0,0,-1,1,0,0,19,10
264,185,45.0,3.0,185,0,0,1,-1,0,0,2,16
238,33,59.0,13.0,205,0,0,1,-1,0,0,8,16
22,68,66.0,10.0,15,0,0,1,-1,0,0,0,18
90,170,27.0,14.0,175,0,0,0,0,0,0,5,24
115,59,51.0,17.0,153,0,0,1,-1,0,0,0,25
73,118,45.0,7.0,229,0,0,0,0,0,0,20,24
161,81,19.0,17.0,126,0,0,1,-1,0,0,14,18
93,199,55.0,7.0,133,0,0,1,-1,0,0,2,13
120,217,10.0,42.0,263,0,0,0,0,0,0,14,1
67,3,31.0,17.0,74,0,0,0,0,0,0,0,20
174,145,46.0,11.0,30,0,0,0,0,0,0,5,15
1,26,49.0,13.0,88,0,0,1,-1,0,0,15,18
172,138,59.0,13.0,24,0,0,1,-1,0,0,5,3
108,116,28.0,7.0,271,0,0,1,-1,0,0,7,6
10,4,52.0,7.0,211,0,0,1,-1,0,0,20,21
122,37,45.0,10.0,235,0,0,1,-1,0,0,1,22
253,40,48.0,7.0,233,0,0,0,0,0,0,0,24
168,88,35.0,3.0,180,0,0,1,-1,0,0,20,13
211,261,21.0,31.0,238,0,0,-1,1,0,0,19,10
96,262,45.0,10.0,41,0,0,1,-1,0,0,24,3
92,234,34.0,7.0,150,0,0,1,-1,0,0,5,6
77,106,55.0,7.0,128,1,0,-1,1,0,0,21,10
230,150,38.0,20.0,254,0,0,1,-1,0,0,24,23
98,156,38.0,35.0,33,0,0,1,-1,0,0,2,13
63,111,55.0,0.0,31,0,0,1,-1,0,0,20,16
121,113,54.0,9.0,65,0,0,-1,1,0,0,23,10
11,202,42.0,24.0,58,0,0,1,-1,0,0,24,4
222,245,42.0,24.0,152,0,0,0,0,0,0,20,1
251,35,45.0,3.0,93,0,0,1,-1,0,0,20,4
196,140,38.0,21.0,112,0,0,1,-1,0,0,24,12
267,152,55.0,6.0,121,0,0,1,-1,0,0,7,25
130,15,14.0,34.0,139,0,0,1,-1,0,0,7,25
114,187,24.0,0.0,137,0,0,1,-1,0,0,7,23
128,148,34.0,17.0,184,0,0,0,0,0,0,5,15
39,103,10.0,17.0,177,0,0,0,0,0,0,0,20
241,135,73.0,13.0,162,0,0,0,0,0,0,5,7
225,12,67.0,7.0,142,0,0,1,-1,0,0,2,21
247,244,28.0,16.0,170,0,0,0,0,0,0,15,7
171,75,63.0,7.0,253,0,0,0,0,0,0,20,24
158,105,51.0,0.0,66,0,0,1,-1,0,0,1,23
112,183,12.0,14.0,51,0,0,0,0,0,0,24,1
17,177,69.0,0.0,154,0,0,1,-1,0,0,2,3
224,60,52.0,27.0,37,0,0,0,0,0,0,24,14
232,0,35.0,7.0,60,0,0,1,-1,0,0,1,25
188,57,42.0,13.0,102,0,0,1,-1,0,0,0,23
149,25,19.0,3.0,3,0,0,1,-1,0,0,7,6
69,74,42.0,14.0,252,0,0,0,0,0,0,15,24
9,159,38.0,19.0,187,0,0,1,-1,0,0,2,3
260,85,13.0,10.0,103,0,0,1,-1,0,0,17,3
173,30,15.0,34.0,212,0,0,0,0,0,0,17,0
8,80,40.0,6.0,19,0,0,0,0,0,0,2,15
237,246,10.0,43.0,220,0,0,0,0,0,0,5,2
259,43,38.0,21.0,127,0,0,0,0,0,0,5,15
197,254,24.0,11.0,182,1,0,0,0,0,0,20,0
126,165,27.0,24.0,114,0,0,0,0,0,0,0,8
153,215,14.0,48.0,145,0,0,0,0,0,0,0,2
115,96,28.0,14.0,153,0,0,0,0,1,0,0,24
163,266,42.0,7.0,157,0,0,1,-1,1,0,5,4
119,161,20.0,9.0,226,0,0,0,0,1,0,5,14
21,61,51.0,14.0,6,0,0,1,-1,1,0,15,3
188,19,45.0,48.0,102,0,0,0,0,1,0,0,2
176,34,45.0,17.0,2,0,0,0,0,1,0,0,14
225,100,62.0,14.0,142,0,0,0,0,1,0,2,14
93,92,16.0,13.0,133,0,0,0,0,1,0,2,5
95,108,34.0,24.0,16,0,1,0,0,1,0,7,7
90,99,56.0,9.0,175,0,0,0,0,1,0,5,7
221,195,38.0,7.0,67,0,0,0,0,1,0,20,15
142,253,35.0,31.0,57,0,0,0,0,1,0,0,0
67,57,77.0,3.0,74,0,0,1,-1,1,0,0,23
214,238,27.0,20.0,130,0,0,0,0,1,0,0,8
53,87,19.0,45.0,260,0,0,0,0,1,0,0,5
131,164,66.0,0.0,125,0,0,1,-1,1,0,5,23
174,66,34.0,0.0,30,0,0,0,0,1,0,5,7
222,247,44.0,22.0,152,0,0,0,0,1,0,20,15
217,84,55.0,7.0,161,0,0,1,-1,1,0,1,12
257,265,42.0,10.0,10,0,0,1,-1,1,0,0,22
148,86,32.0,22.0,251,0,0,1,-1,1,0,15,3
186,127,45.0,17.0,227,0,0,0,0,1,0,5,14
120,25,26.0,27.0,263,0,0,1,-1,1,0,14,6
167,77,70.0,0.0,198,0,0,1,-1,1,0,5,21
268,158,30.0,33.0,258,0,0,0,0,1,0,14,1
134,97,42.0,31.0,174,0,0,0,0,1,0,20,2
245,224,36.0,43.0,5,0,0,0,0,1,0,1,24
173,69,27.0,36.0,212,0,0,0,0,1,0,17,15
101,171,23.0,30.0,151,0,1,0,0,1,0,20,20
7,109,20.0,13.0,149,0,0,1,-1,1,0,24,4
39,230,27.0,16.0,177,0,0,0,0,1,0,0,24
143,233,38.0,24.0,189,0,1,0,0,1,0,1,1
218,56,72.0,17.0,190,0,0,1,-1,1,0,20,22
38,23,34.0,20.0,191,0,0,0,0,1,0,2,14
73,15,28.0,6.0,229,0,0,1,-1,1,0,20,25
76,71,59.0,12.0,35,0,0,1,-1,1,0,0,4
172,169,69.0,3.0,24,0,0,0,0,1,0,5,2
42,50,31.0,7.0,97,0,0,0,0,1,0,2,7
27,207,45.0,6.0,248,0,0,1,-1,1,0,14,16
270,130,42.0,10.0,53,0,0,0,0,1,0,5,7
166,264,17.0,10.0,202,0,0,0,0,1,0,14,2
272,162,31.0,7.0,261,0,0,1,-1,1,0,15,13
63,201,16.0,18.0,31,0,0,0,0,1,0,20,1
145,189,20.0,17.0,167,0,0,1,-1,1,0,15,3
10,11,56.0,14.0,262,1,0,0,0,1,0,20,24
205,94,38.0,20.0,166,0,0,1,-1,1,0,24,21
65,64,56.0,14.0,86,0,0,1,-1,1,0,1,21
55,31,56.0,3.0,75,0,0,1,-1,1,0,1,6
118,135,20.0,21.0,136,0,0,0,0,1,0,24,7
30,223,35.0,3.0,52,0,0,1,-1,1,0,0,21
211,258,59.0,13.0,238,0,0,-1,1,1,0,19,10
246,29,63.0,9.0,215,0,0,1,-1,1,0,2,3
170,155,54.0,6.0,225,0,0,1,-1,1,0,24,12
228,267,45.0,21.0,105,0,0,0,0,1,0,14,7
126,20,45.0,3.0,114,0,0,1,-1,1,0,0,21
36,153,3.0,20.0,135,0,0,0,0,1,0,1,0
43,160,21.0,17.0,56,0,0,1,-1,1,0,15,3
75,122,16.0,38.0,59,0,0,0,0,1,0,24,1
60,111,23.0,28.0,224,0,0,1,-1,1,0,14,16
183,82,9.0,35.0,214,0,0,0,0,1,0,1,2
98,13,21.0,24.0,33,0,0,0,0,1,0,2,1
196,231,31.0,33.0,112,0,0,0,0,1,0,24,1
236,154,68.0,7.0,87,0,0,1,-1,1,0,2,6
197,198,38.0,10.0,272,0,0,1,-1,1,0,20,12
241,74,59.0,20.0,162,0,0,0,0,1,0,5,24
129,22,42.0,40.0,237,0,0,0,0,1,0,5,0
254,251,20.0,44.0,156,0,0,0,0,1,0,0,20
103,114,23.0,7.0,245,0,0,0,0,1,0,20,7
144,2,68.0,0.0,179,0,0,0,0,1,0,5,14
14,18,42.0,3.0,143,0,0,0,0,1,0,20,14
40,35,13.0,0.0,42,0,0,1,-1,1,0,24,4
168,128,24.0,13.0,180,0,0,0,0,1,0,20,5
132,9,24.0,20.0,70,0,0,0,0,1,0,20,2
181,204,34.0,17.0,221,0,0,1,-1,1,0,5,13
3,239,73.0,0.0,45,0,0,0,0,1,0,20,24
112,121,34.0,10.0,51,0,0,1,-1,1,0,24,23
240,237,30.0,23.0,11,0,0,0,0,1,0,15,5
149,232,21.0,14.0,3,0,0,0,0,1,0,7,1
244,242,42.0,17.0,243,0,0,1,-1,1,0,7,4
8,262,48.0,3.0,19,0,0,1,-1,1,0,2,3
260,194,36.0,13.0,103,0,0,0,0,1,0,17,15
17,209,27.0,3.0,154,0,0,0,0,1,0,2,0
259,235,70.0,10.0,127,0,0,1,-1,1,0,5,3
80,191,37.0,20.0,62,0,0,0,0,1,0,15,7
257,142,24.0,34.0,10,0,1,0,0,2,0,0,0
90,91,73.0,0.0,175,0,0,1,-1,2,0,5,13
214,41,66.0,24.0,130,0,0,1,-1,2,0,0,18
82,42,36.0,20.0,244,0,1,0,0,2,0,2,2
8,98,23.0,17.0,19,0,0,0,0,2,0,2,2
237,148,10.0,35.0,220,0,0,0,0,2,0,5,15
3,270,38.0,14.0,45,0,0,0,0,2,0,20,5
253,269,55.0,16.0,233,0,0,1,-1,2,0,0,6
119,229,44.0,17.0,226,0,0,1,-1,2,0,5,6
128,34,63.0,3.0,184,0,0,0,0,2,0,5,14
217,168,3.0,42.0,161,0,0,0,0,2,0,1,20
144,83,59.0,7.0,179,0,0,1,-1,2,0,5,23
163,172,14.0,34.0,157,0,1,0,0,2,0,5,5
100,27,28.0,31.0,73,0,1,0,0,2,0,14,14
230,122,7.0,28.0,254,0,0,0,0,2,0,24,1
76,39,24.0,21.0,35,0,1,0,0,2,0,0,0
19,192,42.0,7.0,171,0,0,1,-1,2,0,2,22
14,196,31.0,15.0,143,0,0,0,0,2,0,20,24
134,112,52.0,10.0,174,0,0,0,0,2,0,20,24
18,146,34.0,29.0,231,0,0,1,-1,2,0,14,6
50,238,44.0,41.0,72,0,0,0,0,2,0,7,8
135,188,10.0,28.0,204,0,0,0,0,2,0,7,0
228,140,60.0,0.0,105,0,0,1,-1,2,0,14,12
245,89,48.0,20.0,5,0,0,1,-1,2,0,1,23
38,164,70.0,0.0,191,0,0,1,-1,2,0,2,23
153,184,41.0,6.0,145,0,0,1,-1,2,0,0,18
129,274,41.0,24.0,237,0,0,1,-1,2,0,5,13
158,260,59.0,10.0,66,0,0,0,0,2,0,1,17
264,176,31.0,24.0,185,0,0,0,0,2,0,2,0
225,173,45.0,14.0,142,0,0,0,0,2,0,2,17
174,252,52.0,6.0,30,0,0,1,-1,2,0,5,6
186,151,60.0,10.0,227,0,0,1,-1,2,0,5,12
218,73,41.0,44.0,190,0,1,0,0,2,0,20,20
181,241,17.0,33.0,221,0,1,0,0,2,0,5,5
11,93,16.0,24.0,58,0,0,0,0,2,0,24,2
221,244,27.0,10.0,67,0,0,0,0,2,0,20,7
126,201,49.0,12.0,114,0,0,0,0,2,0,0,1
145,130,13.0,14.0,167,0,0,0,0,2,0,15,7
23,108,23.0,13.0,76,0,0,0,0,2,0,14,7
36,136,42.0,35.0,135,0,0,1,-1,2,0,1,6
132,6,63.0,0.0,70,0,0,1,-1,2,0,20,21
66,65,38.0,28.0,203,0,0,0,0,2,0,7,1
99,125,27.0,13.0,91,0,0,1,-1,2,0,7,9
118,59,38.0,7.0,136,0,0,1,-1,2,0,24,25
87,268,38.0,0.0,176,0,0,0,0,2,0,5,14
74,95,41.0,34.0,12,0,0,0,0,2,0,24,7
171,10,41.0,35.0,253,0,1,0,0,2,0,20,20
183,178,38.0,17.0,214,0,0,1,-1,2,0,1,21
167,166,37.0,9.0,198,0,0,0,0,2,0,5,14
254,170,26.0,45.0,156,0,0,0,0,2,0,0,24
75,141,37.0,21.0,59,0,0,1,-1,2,0,24,13
205,7,38.0,22.0,166,0,1,0,0,2,0,24,24
92,120,47.0,7.0,150,0,0,0,0,2,0,5,14
40,55,0.0,38.0,42,0,0,0,0,2,0,24,1
165,222,40.0,41.0,193,0,0,0,0,2,0,8,20
114,149,49.0,14.0,137,0,1,0,0,2,0,7,7
103,63,20.0,10.0,245,0,1,0,0,2,0,20,20
