stadium_idx,stadium_key
0,AT&T Stadium
1,Ace W. Mumford Stadium
2,Acrisure Stadium
3,Aggie Memorial Stadium
4,Aggie Stadium
5,Alamodome
6,Albertsons Stadium
7,Alerus Center
8,Alex G. Spanos Stadium
9,Alfond Stadium
10,Allegacy Federal Credit Union Stadium
11,Allegiant Stadium
12,Allen E. Paulson Stadium
13,Alumni Memorial Field
14,Alumni Stadium
15,"Alumni Stadium (Chestnut Hill, MA)"
16,AmFirst Stadium
17,Amon G. Carter Stadium
18,Andy Kerr Stadium
19,Arizona Stadium
20,Armstrong Stadium
21,Arthur J. Rooney Athletic Field
22,Arute Field
23,Audi Field
24,Autzen Stadium
25,Aviva Stadium
26,BBVA Compass Stadium
27,Bailey Memorial Stadium
28,Bank of America Stadium
29,Barker-Lane Stadium
30,Beaver Stadium
31,Ben Hill Griffin Stadium
32,Bethpage Federal Credit Union Stadium
33,Bill Snyder Family Stadium
34,Bob Ford Field
35,Bobby Dodd Stadium
36,Bobcat Stadium
37,Bobcat Stadium (TX)
38,Boone Pickens Stadium
39,Bragg Memorial Stadium
40,Braly Municipal Stadium
41,Bridgeforth Stadium
42,Brooks Stadium (SC)
43,Brown Field
44,Brown Stadium
45,Bryant-Denny Stadium
46,Buccaneer Field
47,Bulldog Stadium
48,Butler Bowl
49,CEFCU Stadium
50,Caesars Superdome
51,Cajun Field
52,California Memorial Stadium
53,Camp Randall Stadium
54,Camping World Stadium
55,Campus Field
56,Canvas Stadium
57,Carter-Finley Stadium
58,Centennial Bank Stadium
59,Center Parc Stadium
60,Chapman Stadium
61,Christy Mathewson-Memorial Stadium
62,Clarence T.C. Ching Athletics Complex
63,Cooper Field
64,Cotton Bowl
65,Cowboy Stadium
66,DATCU Stadium
67,DKR-Texas Memorial Stadium
68,DakotaDome
69,Dana J. Dykhouse Stadium
70,Davis Wade Stadium
71,DeGol Field
72,Delaware Stadium
73,Dix Stadium
74,Doak Campbell Stadium
75,Dowdy-Ficklen Stadium
76,Doyt L. Perry Stadium
77,Drake Stadium
78,Duane Stadium
79,E. Claiborne Robins Stadium
80,E. J. Whitmire Stadium
81,Eccles Coliseum
82,Eddie Robinson Stadium
83,Ernest W. Spangler Stadium
84,Estes Stadium
85,EverBank Stadium
86,FAU Stadium
87,FBC Mortgage Stadium
88,Falcon Stadium
89,Fargodome
90,Fenway Park
91,Fifth Third Stadium
92,Finley Stadium
93,FirstBank Stadium
94,Fisher Field
95,Fitton Field
96,Five Star Stadium at the Moye Complex
97,Folsom Field
98,Ford Field
99,Franklin Field
100,GEHA Field at Arrowhead Stadium
101,Gayle and Tom Benson Stadium
102,Gerald J. Ford Stadium
103,Gesa Field
104,Gibbs Stadium
105,Glass Bowl
106,Golden Lion Stadium
107,Goodman Stadium
108,Governors Stadium
109,Graham Stadium
110,Greater Zion Stadium
111,Hancock Stadium
112,Hancock Whitney Stadium
113,Hanson Field
114,Hard Rock Stadium
115,Harry Turpin Stadium
116,Harvard Stadium
117,Hillsboro Stadium
118,Holt Arena
119,Homer Bryce Stadium
120,Hornet Stadium
121,Houchens Industries-L.T. Smith Stadium
122,Houck Field
123,Hughes Stadium
124,Hunter Stadium
125,Huntington Bank Stadium
126,Huskie Stadium
127,Husky Stadium
128,Independence Stadium
129,InfoCision Stadium
130,JMA Wireless Dome
131,Jack Coffey Field
132,Jack Spinks Stadium
133,Jack Trice Stadium
134,Jayne Stadium
135,Jerry Richardson Stadium
136,Joan C. Edwards Stadium
137,Joe Aillet Stadium
138,Joe Walton Stadium
139,"Johnny ""Red"" Floyd Stadium"
140,Johnny Unitas Stadium
141,Johnson Hagood Stadium
142,Jones AT&T Stadium
143,Jordan-Hare Stadium
144,Kelly/Shorts Stadium
145,Kenan Stadium
146,Kenneth P. LaValle Stadium
147,Kessler Stadium
148,Kibbie Dome
149,Kidd Brewer Stadium
150,Kinnick Stadium
151,Kroger Field
152,Kyle Field
153,L&N Federal Credit Union Stadium
154,LaVell Edwards Stadium
155,Ladd Peebles Stadium
156,Lane Stadium
157,Lanny and Sharon Martin Stadium
158,Lawrence A. Wien Stadium
159,Legion Field
160,Leonidoff Field
161,Lincoln Financial Field
162,Los Angeles Memorial Coliseum
163,Louis Crews Stadium
164,Lucas Oil Stadium
165,M&T Bank Stadium
166,M. M. Roberts Stadium
167,Mackay Stadium
168,Malone Stadium
169,Manning Field at John L. Guidry Stadium
170,Maverik Stadium
171,McLane Stadium
172,Meade Stadium
173,Memorial Field
174,Memorial Stadium
175,"Memorial Stadium (Bloomington, IN)"
176,"Memorial Stadium (Champaign, IL)"
177,"Memorial Stadium (Clemson, SC)"
178,Memorial Stadium (Commerce TX)
179,"Memorial Stadium (Lincoln, NE)"
180,"Memorial Stadium (Norman, OK)"
181,"Memorial Stadium (Stephenville, TX)"
182,Mercedes-Benz Stadium
183,Michie Stadium
184,Michigan Stadium
185,Milan Puskar Stadium
186,Mississippi Veterans Memorial Stadium
187,Mountain America Stadium
188,Municipal Stadium
189,Navy-Marine Corps Memorial Stadium
190,Neyland Stadium
191,Nippert Stadium
192,Nissan Stadium
193,Notre Dame Stadium
194,Nottingham Field
195,O'Brien Stadium
196,O'Kelly-Riddick Stadium
197,O'Shaughnessy Stadium
198,Ohio Stadium
199,Oliver C. Dawson Stadium
200,Paladin Stadium
201,Panther Stadium
202,Peden Stadium
203,Pitbull Stadium
204,Plaster Sports Complex
205,Pratt & Whitney Stadium
206,Princeton University Stadium
207,Protective Stadium
208,Provost Umphrey Stadium
209,Ralph F. DellaCamera Stadium
210,Raymond James Stadium
211,Razorback Stadium
212,Reser Stadium
213,Rhodes Stadium
214,Rice Stadium
215,Rice-Eccles Stadium
216,Rice-Totten Field
217,Richardson Stadium
218,Robert and Janet Vackar Stadium
219,Roos Field
220,Rose Bowl
221,Ross-Ade Stadium
222,Roy Kidd Stadium
223,Roy Stewart Stadium
224,Rynearson Stadium
225,S.B. Ballard Stadium
226,SECU Stadium
227,SHI Stadium
228,Saluki Stadium
229,Sanford Stadium
230,Saxon Stadium
231,Scheumann Stadium
232,Schoellkopf Field
233,Scott Stadium
234,Seibert Stadium
235,Simmons Bank Liberty Stadium
236,Snapdragon Stadium
237,Spartan Stadium
238,Spec Martin Municipal Stadium
239,Stambaugh Stadium
240,Stanford Stadium
241,Stewart Stadium
242,Strawberry Stadium
243,Sun Bowl
244,TDECU Stadium
245,Tiger Stadium (LA)
246,Torero Stadium
247,Tucker Stadium
248,UB Stadium
249,UNI-Dome
250,University Stadium (GA)
251,University Stadium (NM)
252,Valley Children's Stadium
253,Vaught-Hemingway Stadium
254,Veterans Memorial Stadium (AL)
255,Villanova Stadium
256,W.B. Mason Stadium
257,Wagner College Stadium
258,Waldo Stadium
259,Walkup Skydome
260,Wallace Wade Stadium
261,War Memorial Stadium
262,War Memorial Stadium (AR)
263,Warren McGuirk Alumni Stadium
264,Washington-Grizzly Stadium
265,Welcome Stadium
266,Wildcat Stadium
267,Wildcat Stadium (TX)
268,William B. Greene Jr. Stadium
269,"William Dick"""" Price Stadium"""""
270,William H. Greene Stadium
271,Williams Stadium (VA)
272,Williams-Brice Stadium
273,Wrigley Field
274,Yager Stadium
275,Yale Bowl
276,Yulman Stadium
277,Zable Stadium
